Date,Timestamp,Market,Side,Price,Size,Qty Before,Qty After,Avg Buy Before,Avg Sell Before,Avg Buy After,Avg Sell After,P&L Change,Cumulative P&L
2025-12-25,2025-12-08T14:05:11.024452+00:00,KXTARIFFRATEINDIA-26JAN01-24,yes,$0.370,63,0,63,N/A,N/A,$0.370,N/A,$+0.00,$0.00
2025-12-25,2025-12-08T15:05:16.423388+00:00,KXTARIFFRATEINDIA-26JAN01-34,yes,$0.150,5,0,5,N/A,N/A,$0.150,N/A,$+0.00,$0.00
2025-12-25,2025-12-08T22:45:08.364414+00:00,KXTARIFFRATEINDIA-26JAN01-34,yes,$0.080,5,5,10,$0.150,N/A,$0.115,N/A,$+0.00,$0.00
2025-12-25,2025-12-09T15:58:20.833319+00:00,KXTARIFFRATEINDIA-26JAN01-55,yes,$0.370,2,0,2,N/A,N/A,$0.370,N/A,$+0.00,$0.00
2025-12-25,2025-12-09T15:58:20.833319+00:00,KXTARIFFRATEINDIA-26JAN01-55,yes,$0.380,10,2,12,$0.370,N/A,$0.378,N/A,$+0.00,$0.00
2025-12-25,2025-12-09T15:59:16.016757+00:00,KXTARIFFRATEINDIA-26JAN01-24,yes,$0.310,1,63,64,$0.370,N/A,$0.369,N/A,$+0.00,$0.00
2025-12-25,2025-12-09T19:15:32.485099+00:00,KXTARIFFRATEINDIA-26JAN01-55,yes,$0.370,2,12,14,$0.378,N/A,$0.377,N/A,$+0.00,$0.00
2025-12-25,2025-12-09T19:15:32.485099+00:00,KXTARIFFRATEINDIA-26JAN01-55,yes,$0.380,5,14,19,$0.377,N/A,$0.378,N/A,$+0.00,$0.00
2025-12-25,2025-12-09T19:15:32.485099+00:00,KXTARIFFRATEINDIA-26JAN01-55,yes,$0.380,6,19,25,$0.378,N/A,$0.378,N/A,$+0.00,$0.00
2025-12-25,2025-12-11T05:58:56.660910+00:00,KXNFLXINCREASE-25,no,$0.060,1,0,-1,N/A,N/A,N/A,$0.060,$+0.00,$0.00
2025-12-25,2025-12-11T07:43:16.723616+00:00,KXNFLXINCREASE-25,no,$0.060,4,-1,-5,N/A,$0.060,N/A,$0.060,$+0.00,$0.00
2025-12-25,2025-12-11T15:51:48.188437+00:00,KXNFLXINCREASE-25,yes,$0.040,5,-5,0,N/A,$0.060,N/A,$0.060,$+0.10,$0.10
2025-12-14,2025-12-14T20:17:30.503968+00:00,KXAISTREAMSERIES-27-DIS,no,$0.400,2,0,-2,N/A,N/A,N/A,$0.400,$+0.00,$0.00
2025-12-14,2025-12-14T20:37:52.964017+00:00,KXAISTREAMSERIES-27-DIS,yes,$0.200,2,-2,0,N/A,$0.400,N/A,$0.400,$+0.40,$0.40
2025-12-15,2025-12-15T00:37:32.976197+00:00,KXGTAPRICE-90,no,$0.330,10,0,-10,N/A,N/A,N/A,$0.330,$+0.00,$0.00
2025-12-15,2025-12-15T00:37:44.658659+00:00,KXGTAPRICE-90,yes,$0.300,10,-10,0,N/A,$0.330,N/A,$0.330,$+0.30,$0.30
2025-12-15,2025-12-15T00:45:36.024663+00:00,KXAIRTAGS2PRICE-27-30,no,$0.490,9,0,-9,N/A,N/A,N/A,$0.490,$+0.00,$0.00
2025-12-15,2025-12-15T02:21:44.743881+00:00,KXAISTREAMSERIES-27-DIS,no,$0.180,10,0,-10,N/A,$0.400,N/A,$0.180,$+0.00,$0.40
2025-12-15,2025-12-15T03:02:04.003744+00:00,KXGTAPRICE-80,no,$0.450,1,0,-1,N/A,N/A,N/A,$0.450,$+0.00,$0.00
2025-12-15,2025-12-15T10:27:54.707421+00:00,KXGTAPRICE-80,yes,$0.410,6,-1,5,N/A,$0.450,$0.410,$0.450,$+0.04,$0.04
2025-12-23,2025-12-15T15:46:28.821192+00:00,KXGTAPRICE-80,no,$0.440,2,5,3,$0.410,$0.450,$0.410,$0.450,$+0.06,$0.10
2025-12-23,2025-12-15T23:03:53.613408+00:00,KXAIRTAGS2PRICE-27-30,yes,$0.490,9,-9,0,N/A,$0.490,N/A,$0.490,$+0.00,$0.00
2025-12-23,2025-12-16T00:56:05.543984+00:00,KXGTAPRICE-80,no,$0.440,3,3,0,$0.410,$0.450,$0.410,$0.450,$+0.09,$0.19
2025-12-23,2025-12-16T16:45:51.419636+00:00,KXTARIFFRATEINDIA-26JAN01-24,no,$0.300,6,64,58,$0.369,N/A,$0.369,N/A,$-0.41,$-0.41
2025-12-23,2025-12-16T17:58:35.404074+00:00,KXTARIFFRATEINDIA-26JAN01-55,yes,$0.550,25,25,50,$0.378,N/A,$0.464,N/A,$+0.00,$0.00
2025-12-23,2025-12-16T20:45:29.622339+00:00,KXAISTREAMSERIES-27-DIS,yes,$0.350,10,-10,0,N/A,$0.180,N/A,$0.180,$-1.70,$-1.30
2025-12-23,2025-12-23T17:16:13.775562+00:00,KXAIRTAGS2PRICE-27-30,no,$0.480,10,0,-10,N/A,$0.490,N/A,$0.480,$+0.00,$0.00
2025-12-23,2025-12-23T17:45:42.922970+00:00,KXTARIFFRATEINDIA-26JAN01-24,no,$0.020,34,58,24,$0.369,N/A,$0.369,N/A,$-11.87,$-12.28
2025-12-23,2025-12-23T17:45:42.922970+00:00,KXTARIFFRATEINDIA-26JAN01-24,no,$0.010,24,24,0,$0.369,N/A,$0.369,N/A,$-8.62,$-20.90
2025-12-23,2025-12-23T17:45:59.235160+00:00,KXTARIFFRATEINDIA-26JAN01-55,no,$0.890,50,50,0,$0.464,N/A,$0.464,N/A,$+21.29,$21.29
2025-12-23,2025-12-23T18:48:14.427498+00:00,KXAISTREAMSERIES-27-NET,no,$0.300,6,0,-6,N/A,N/A,N/A,$0.300,$+0.00,$0.00
2025-12-23,2025-12-23T22:51:57.436325+00:00,KXAISTREAMSERIES-27-NET,yes,$0.270,10,-6,4,N/A,$0.300,$0.270,$0.300,$+0.18,$0.18
2025-12-23,2025-12-23T23:12:22.300442+00:00,KXAIRTAGS2PRICE-27-30,yes,$0.490,9,-10,-1,N/A,$0.480,N/A,$0.480,$-0.09,$-0.09
2025-12-23,2025-12-23T23:57:50.872413+00:00,KXGTAPRICE-80,no,$0.450,10,0,-10,$0.410,$0.450,$0.410,$0.450,$+0.00,$0.19
2025-12-24,2025-12-24T02:32:16.803438+00:00,KXAIRTAGS2PRICE-27-30,no,$0.500,10,-1,-11,N/A,$0.480,N/A,$0.498,$+0.00,$-0.09
2025-12-24,2025-12-24T02:51:46.224180+00:00,KXAISTREAMSERIES-27-DIS,no,$0.280,10,0,-10,N/A,$0.180,N/A,$0.280,$+0.00,$-1.30
2025-12-24,2025-12-24T13:10:56.718836+00:00,KXAIRTAGS2PRICE-27-30,yes,$0.470,1,-11,-10,N/A,$0.498,N/A,$0.498,$+0.03,$-0.06
2025-12-24,2025-12-24T15:25:18.818421+00:00,KXGTAPRICE-90,no,$0.330,2,0,-2,N/A,$0.330,N/A,$0.330,$+0.00,$0.30
2025-12-24,2025-12-24T15:45:53.832210+00:00,KXHIGHPHIL-25DEC24-B49.5,yes,$0.440,1,0,1,N/A,N/A,$0.440,N/A,$+0.00,$0.00
2025-12-24,2025-12-24T15:50:22.223152+00:00,KXHIGHPHIL-25DEC24-B49.5,no,$0.400,7,1,-6,$0.440,N/A,$0.440,$0.400,$-0.04,$-0.04
2025-12-24,2025-12-24T15:58:32.505278+00:00,KXHIGHPHIL-25DEC24-B49.5,no,$0.570,2,-6,-8,$0.440,$0.400,$0.440,$0.443,$+0.00,$-0.04
2025-12-24,2025-12-24T15:58:33.760479+00:00,KXHIGHPHIL-25DEC24-B49.5,yes,$0.420,10,-8,2,$0.440,$0.443,$0.420,$0.443,$+0.18,$0.14
2025-12-24,2025-12-24T15:59:13.631680+00:00,KXHIGHPHIL-25DEC24-B49.5,no,$0.510,5,2,-3,$0.420,$0.443,$0.420,$0.510,$+0.18,$0.32
2025-12-24,2025-12-24T15:59:49.070203+00:00,KXHIGHPHIL-25DEC24-B49.5,no,$0.520,10,-3,-13,$0.420,$0.510,$0.420,$0.518,$+0.00,$0.32
