market_ticker,market_title,status,current_spread,volume_7d_contracts,volume_7d_orders,7d_profit_current_usd,7d_profit_optimal_usd,7d_optimal_bid,7d_optimal_ask,7d_current_spread,7d_required_spread,60d_profit_current_usd,60d_profit_optimal_usd,60d_optimal_bid,60d_optimal_ask,60d_current_spread,60d_required_spread,event_ticker,event_title,7d_required_spread_with_fees,7d_roundtrip_fee_cents,60d_required_spread_with_fees,60d_roundtrip_fee_cents,spread_sufficient_flag
KXELONMARS-99,"Will Elon Musk visit Mars before Aug 1, 2099?",active,3.0,1342.0,100.0,11.52,14.04,6.0,10.0,3.0,0.0848078421064502,4.94,41.43,8.0,10.0,3.0,0.0820745781597861,KXELONMARS-99,Will Elon Musk visit Mars in his lifetime?,,,,,1.0
KXNEWPOPE-70-PPAR,Who will the next Pope be?,active,2.0,248.0,2.0,-1.89,0.0,0.0,1.0,2.0,0.0,-8.92,8.45,1.0,4.0,2.0,-0.3399989250793011,KXNEWPOPE-70,Who will the next Pope be?,,,,,0.0
KXNEWPOPE-70-PERD,Who will the next Pope be?,active,,30.0,5.0,,,,,,,,,,,,,KXNEWPOPE-70,Who will the next Pope be?,,,,,
KXNEWPOPE-70-MZUP,Who will the next Pope be?,active,2.0,,,,,,,2.0,0.0,1.74,1.74,1.0,3.0,2.0,0.0,KXNEWPOPE-70,Who will the next Pope be?,,,,,0.0
KXNEWPOPE-70-LANT,Who will the next Pope be?,active,3.0,,,,,,,3.0,0.0,0.3,0.3,1.0,4.0,3.0,0.0,KXNEWPOPE-70,Who will the next Pope be?,,,,,1.0
KXNEWPOPE-70-FAMB,Who will the next Pope be?,active,2.0,,,,,,,2.0,0.0,7.9,7.9,1.0,3.0,2.0,0.0,KXNEWPOPE-70,Who will the next Pope be?,,,,,0.0
KXNEWPOPE-70-AARB,Who will the next Pope be?,active,2.0,,,,,,,2.0,0.0,3.02,3.02,1.0,3.0,2.0,-0.75,KXNEWPOPE-70,Who will the next Pope be?,,,,,0.0
KXNEWPOPE-70-PPIZ,Who will the next Pope be?,active,3.0,,,,,,,3.0,0.0,5.52,5.52,1.0,4.0,3.0,-0.6097070274901604,KXNEWPOPE-70,Who will the next Pope be?,,,,,1.0
KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,active,1.0,78.0,21.0,0.34,1.88,77.0,82.0,1.0,-0.7097237688710096,-5.57,30.24,77.0,84.0,1.0,-0.1214307911273528,KXWARMING-50,Will the world pass 2 degrees Celsius over pre-industrial levels before 2050?,,,,,0.0
KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,active,7.0,795.0,32.0,8.37,9.76,10.0,16.0,7.0,0.2510589071449369,7.64,12.22,10.0,16.0,7.0,0.4021998332699218,KXMARSVRAIL-50,Will a human land on Mars before California starts high-speed rail?,,,,,1.0
KXERUPTSUPER-0-50JAN01,When will a supervolcano next erupt?,active,5.0,346.0,26.0,5.35,5.35,12.0,17.0,5.0,0.25,35.66,45.21,11.0,17.0,5.0,0.4035345727152041,KXERUPTSUPER-0,Will a supervolcano erupt before 2050?,,,,,1.0
KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,active,3.0,450.0,19.0,0.39,0.48,14.0,18.0,3.0,-0.1107507326583444,11.19,11.19,15.0,18.0,3.0,0.024496318169219,KXCOLONIZEMARS-50,Will humans colonize Mars before 2050?,,,,,1.0
KXPERSONPRESMAM-45,Will  become President of the United States before 2045?,active,1.0,466.0,77.0,2.29,2.29,5.0,6.0,1.0,0.08917863689,14.85,56.55,5.0,8.0,1.0,-0.0809065090153716,KXPERSONPRESMAM-45,Will Zohran Mamdani become President of the United States before 2045?,,,,,0.0
KXXISUCCESSOR-45JAN01-ZLEJ,"Will Zhao Leji become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,8.0,,,,,,,8.0,0.0,0.48,0.55,6.0,15.0,8.0,0.0,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,1.0
KXXISUCCESSOR-45JAN01-ZGUO,"Will Zhang Guoqing become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-YYON,"Will Yin Yong become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-YLI,"Will Yin Li become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-WHUN,"Will Wang Huning become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,,12.0,2.0,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-MXIN,"Will Ma Xingrui become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-LXI,"Will Li Xi become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-LQIA,"Will Li Qiang become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,9.0,23.0,2.0,0.0,0.0,0.0,20.0,9.0,0.0,0.09,0.09,11.0,20.0,9.0,0.0,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,1.0
KXXISUCCESSOR-45JAN01-LGAN,"Will Li Ganjie become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-HLIF,"Will He Lifeng become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-DXUE,"Will Ding Xuexiang become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,9.0,13.0,3.0,0.0,0.0,0.0,33.0,9.0,0.0,6.12,6.12,24.0,33.0,9.0,0.0,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,1.0
KXXISUCCESSOR-45JAN01-CQI,"Will Cai Qi become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,9.0,,,,,,,9.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,1.0
KXXISUCCESSOR-45JAN01-CMIN,"Will Chen Min'er become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",no trades,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXXISUCCESSOR-45JAN01-CJIN,"Will Chen Jining become the next leader of the Chinese Communist Party (CCP) before Jan 1, 2045?",active,,,,,,,,,,,,,,,,KXXISUCCESSOR-45JAN01,Who will be named as Xi Jinping's successor?,,,,,
KXPERSONPRESFUENTES-45,Will  become President of the United States before 2045?,active,1.0,468.0,32.0,1.43,4.75,16.0,19.0,1.0,0.8524687932474521,20.85,329.55,13.0,41.0,1.0,1.402976474449019,KXPERSONPRESFUENTES-45,Will Nick Fuentes become President of the United States before 2045?,,,,,0.0
KXNEXTISRAELPM-45JAN01-YLEV,Will Yariv Levin be the next Prime Minister of Israel?,active,,8.0,4.0,,,,,,,,,,,,,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,
KXNEXTISRAELPM-45JAN01-YLAP,Will Yair Lapid be the next Prime Minister of Israel?,active,6.0,,,,,,,6.0,0.0,4.8,7.6,11.0,15.0,6.0,0.0590401888519574,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,1.0
KXNEXTISRAELPM-45JAN01-YGOL,Will Yair Golan be the next Prime Minister of Israel?,active,,3.0,1.0,,,,,,,,,,,,,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,
KXNEXTISRAELPM-45JAN01-YGAL,Will Yoav Gallant be the next Prime Minister of Israel?,active,1.0,60.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.04,0.04,5.0,6.0,1.0,0.0,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,0.0
KXNEXTISRAELPM-45JAN01-YCOH,Will Yossi Cohen be the next Prime Minister of Israel?,active,1.0,40.0,3.0,0.1,0.1,5.0,6.0,1.0,0.0,0.3,0.3,5.0,6.0,1.0,0.0,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,0.0
KXNEXTISRAELPM-45JAN01-NBEN,Will Naftali Bennett be the next Prime Minister of Israel?,active,6.0,25.0,2.0,0.06,0.06,33.0,39.0,6.0,0.0,3.3,3.3,33.0,39.0,6.0,-1.816830081067869,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,1.0
KXNEXTISRAELPM-45JAN01-IKAT,Will Israel Katz be the next Prime Minister of Israel?,active,2.0,200.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,0.0
KXNEXTISRAELPM-45JAN01-IBEN,Will Itamar Ben-Gvir be the next Prime Minister of Israel?,no trades,,,,,,,,,,,,,,,,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,
KXNEXTISRAELPM-45JAN01-GEIS,Will Gadi Eisenkot be the next Prime Minister of Israel?,active,2.0,68.0,5.0,0.08,0.08,2.0,4.0,2.0,0.0,0.08,0.08,2.0,4.0,2.0,0.0,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,0.0
KXNEXTISRAELPM-45JAN01-BSMO,Will Bezalel Smotrich be the next Prime Minister of Israel?,no trades,,,,,,,,,,,,,,,,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,
KXNEXTISRAELPM-45JAN01-BGAN,Will Benny Gantz be the next Prime Minister of Israel?,active,3.0,8.0,2.0,0.12,0.12,4.0,7.0,3.0,0.0,0.63,1.19,4.0,8.0,3.0,0.0,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,1.0
KXNEXTISRAELPM-45JAN01-ALIE,Will Avigdor Lieberman be the next Prime Minister of Israel?,active,4.0,2.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.02,3.0,5.0,4.0,0.0,KXNEXTISRAELPM-45JAN01,Who will be the next new Prime Minister of Israel?,,,,,1.0
