market_id,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,approve
KXBOND-30-AP,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXAISTREAMSERIES-27-AMA,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXIPO-26-ANTHROPIC,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXLEADERSOUT-27JAN01-VZELUKR,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXDOJEPSTEINOUT-26,expand,Positive P&L ($0.29) and median fill = quote size (10.0),,,20.0,40.0,40.0,0.29,6,19,True,-6.0,yes
KXGTAPRICE-70,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXLEADERSOUT-27JAN01-AALSSYR,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXNEXTTEAMNBA-26ADAV-CHI,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXNEXTCOACHOUTNFL-26-2-LV,expand,Positive P&L ($0.60) and median fill = quote size (10.0),,,20.0,40.0,40.0,0.60,2,2,False,0.0,yes
KXGTAPRICE-90,expand,Positive P&L ($0.30) and median fill = quote size (10.0),,,20.0,40.0,40.0,0.30,2,5,True,-20.0,yes
KXNEXTTEAMNBA-26ADAV-ATL,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXMAYORCHI-27-MPAP,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXAIRTAGS2PRICE-27-30,exit,P&L < -$0.50 in 24h ($-0.68),False,,,,,-0.68,1,9,False,0.0,yes
KXTRUMPMEETING-27JAN01-NKJU,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXGTAPRICE-100,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXPGAMAJORWIN-26-SSCH,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXPCECORE-26MAR-T0.2,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXJENSENMENTION-26JAN06-TAIW,exit,P&L < -$0.50 in 24h ($-1.50),True,0.5,,,,-1.50,3,3,True,10.0,yes
KXIPO-26-RIPPLE,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
