market_id,event_ticker,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,approve
KXBOND-30-AP,KXBOND-30,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXAISTREAMSERIES-27-AMA,KXAISTREAMSERIES-27,skip_event_active,No fills in 48 hours (but 2 sibling markets active),,,,,,0.00,0,0,False,0.0,no
KXIPO-26-ANTHROPIC,KXIPO-26,skip_event_active,No fills in 48 hours (but 1 sibling markets active),,,,,,0.00,0,0,False,0.0,no
KXLEADERSOUT-27JAN01-VZELUKR,KXLEADERSOUT-27JAN01,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXDOJEPSTEINOUT-26,KXDOJEPSTEINOUT-26,expand,Positive P&L ($0.29) and median fill = quote size (10.0),,,20.0,40.0,40.0,0.29,6,19,True,-6.0,yes
KXGTAPRICE-70,KXGTAPRICE,skip_event_active,No fills in 48 hours (but 2 sibling markets active),,,,,,0.00,0,0,False,0.0,no
KXLEADERSOUT-27JAN01-AALSSYR,KXLEADERSOUT-27JAN01,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXNEXTTEAMNBA-26ADAV-CHI,KXNEXTTEAMNBA-26ADAV,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXNEXTCOACHOUTNFL-26-2-LV,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.60) and median fill = quote size (10.0),,,20.0,40.0,40.0,0.60,2,2,False,0.0,yes
KXGTAPRICE-90,KXGTAPRICE,expand,Positive P&L ($0.30) and median fill = quote size (10.0),,,20.0,40.0,40.0,0.30,2,5,True,-20.0,yes
KXNEXTTEAMNBA-26ADAV-ATL,KXNEXTTEAMNBA-26ADAV,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXMAYORCHI-27-MPAP,KXMAYORCHI-27,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXAIRTAGS2PRICE-27-30,KXAIRTAGS2PRICE-27,exit,P&L < -$0.50 in 24h ($-0.68),False,,,,,-0.68,1,9,False,0.0,yes
KXTRUMPMEETING-27JAN01-NKJU,KXTRUMPMEETING-27JAN01,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXGTAPRICE-100,KXGTAPRICE,skip_event_active,No fills in 48 hours (but 2 sibling markets active),,,,,,0.00,0,0,False,0.0,no
KXPGAMAJORWIN-26-SSCH,KXPGAMAJORWIN-26,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXPCECORE-26MAR-T0.2,KXPCECORE-26MAR,exit,No fills in 48 hours,False,,,,,0.00,0,0,False,0.0,yes
KXJENSENMENTION-26JAN06-TAIW,KXJENSENMENTION-26JAN06,skip_event_active,P&L < -$0.50 in 24h ($-1.50) (but 1 sibling markets active),,,,,,-1.50,3,3,True,10.0,no
KXIPO-26-RIPPLE,KXIPO-26,skip_event_active,No fills in 48 hours (but 1 sibling markets active),,,,,,0.00,0,0,False,0.0,no
