market_id,event_ticker,action,reason,new_enabled,new_min_spread,new_quote_size,new_max_inventory_yes,new_max_inventory_no,pnl_24h,fill_count_24h,fill_count_48h,has_position,position_qty,info_risk_probability,info_risk_rationale,approve
KXNEXTCOACHOUTNFL-26-2-TB,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.18) and median fill = quote size (5.0),,0.04,10,10,10,0.18,2,3,True,-5,5,"A >20ppt move from ~6% in the next 7 days would require Tampa Bay to announce a firing/resignation (or similarly decisive news) before any other NFL head coach — an outcome that is uncommon in the middle/close of the regular season. Most head-coach changes are announced immediately after a team’s season ends (early January) and typically cluster across multiple teams, so the chance Tampa Bay is uniquely the next coach out within seven days is low.",yes
KXAISTREAMSERIES-27-AMA,KXAISTREAMSERIES-27,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,5,"A >20ppt move from ~14% would essentially require a direct Amazon announcement or immediate public release of a fully AI‑generated multi‑episode series; given the holiday week (Dec 27–Jan 3), no known Amazon events, and the technical/rights/PR hurdles, that is very unlikely. Broader industry reports could shift sentiment slightly but are unlikely to move the market by more than 20 percentage points within seven days.",yes
KXTECHLAYOFF-25NOV-1.4,KXTECHLAYOFF-25NOV,expand,Positive P&L ($0.34) and median fill = quote size (5.0),,0.04,10,10,10,0.34,7,7,False,0,8,"The BLS JOLTS release that will report the November 2025 layoffs/discharges rate (the official series referenced by the market) is scheduled for January 7, 2026, outside the Dec 27–Jan 3 window, so an official resolution in the next 7 days is very unlikely. Individual large tech-firm layoff announcements could still shift sentiment, but absent a major multi-thousand-job shock (which is uncommon on such short notice) it’s unlikely to move a 50% market by more than 20 percentage points within seven days. ([bls.gov](https://www.bls.gov/jlt/?utm_source=openai))",yes
KXIPO-26-ANTHROPIC,KXIPO-26,exit,No fills in lookback period (quote_size at minimum),False,,,,,0.00,0,0,False,0,10,"It is year‑end (Dec 27) and there are no imminent, schedule‑driven SEC filings or corporate deadlines that would typically produce definitive IPO confirmation or decisive negative evidence in the next 7 days. While a surprise S‑1 filing, executive confirmation, or major adverse development could swing the market >20 ppts, those events are relatively unlikely on such short notice, so only a low single‑digit/low‑double‑digit chance exists of market‑moving news in the coming week.",yes
KXDOJEPSTEINOUT-26,KXDOJEPSTEINOUT-26,scale_down,P&L < -$0.50 ($-0.82) - scaling down (quote 20.0->10.0),,0.08,10,10,10,-0.82,6,14,True,1,28,"The DOJ released an initial batch of Epstein files in mid‑December and is under intense, bipartisan scrutiny, and outlets have reported internal tensions and earlier threats to resign — factors that raise the chance of a departure being reported. However, as of Dec 27 there are no confirmed reports of DOJ employees leaving directly because of the December release, the department says document production will continue on a rolling basis over the coming weeks, and the holiday period makes an immediate, decisive personnel exit less likely. ([theguardian.com](https://www.theguardian.com/us-news/2025/dec/19/jeffrey-epstein-files-us-justice-department?utm_source=openai))",yes
KXGTAPRICE-70,KXGTAPRICE,reset_defaults,"No fills in lookback period (sibling expanding in KXGTAPRICE, resetting to defaults)",True,0.05,5,5,5,0.00,0,0,False,0,20,"There is a low-to-moderate chance (≈20%) that definitive pricing news (official Rockstar/MSRP announcement or major retailer listings/leaks) will appear in the next 7 days and move the market by >20 percentage points. Such a swing would require clear, authoritative information (e.g., an MSRP of ≤$70 or a confirmed $79.99+) and absent a known imminent announcement the short time window makes this unlikely though not impossible due to leaks or surprise press releases.",yes
KXNEXTCOACHOUTNFL-26-2-LV,KXNEXTCOACHOUTNFL-26-2,reset_defaults,"High info risk (45% > 25%) (sibling expanding in KXNEXTCOACHOUTNFL-26-2, resetting to defaults)",True,0.05,5,5,5,0.86,5,15,True,-21,45,"Moderate (45%) — The Raiders have had a very poor 2025 season (listed 2–13) and Pete Carroll (hired Jan 2025) has already overseen midseason staff changes, so a coach exit or competing head‑coach announcements in the next week that would swing this market >20 percentage points is plausible. NFL teams frequently announce coaching changes immediately after the regular season (Black Monday), which raises short‑term risk of market‑moving news; however there’s no single confirmed imminent Las Vegas head‑coach resignation/firing reported at the time of this assessment. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2025_Las_Vegas_Raiders_season?utm_source=openai))",yes
KXGTAPRICE-90,KXGTAPRICE,expand,Positive P&L ($0.84) and median fill = quote size (20.0),,0.04,25,25,25,0.84,2,5,True,-10,10,"Rockstar has pushed GTA VI’s console launch to November 19, 2026 and there is no official PS5 base-game MSRP or pre-order pricing announced, so a definitive price reveal in the next 7 days is unlikely. ([hypebeast.com](https://hypebeast.com/2025/11/gta-6-delayed-to-november-19-2026-with-a-console-first-launch?utm_source=openai)) While pricing speculation and occasional retailer/listing leaks (including $100 rumors) have circulated, the chance of a credible official price or retailer pre-order leak this holiday week that would move the market by >20 percentage points is low but non-zero. ([gtaboom.com](https://www.gtaboom.com/Another_Analyst_Adds_to_the_GTA_6_Price_Tag_Rumors?utm_source=openai))",yes
KXTENNCOACH-26-MNAG,KXTENNCOACH-26,expand,Positive P&L ($0.08) and median fill = quote size (10.0),,0.04,20,20,20,0.08,3,6,True,-20,15,"Interviews for the Titans’ head-coaching vacancy are not expected to begin until roughly mid‑January, so a final hire inside the next 7 days (Dec 27–Jan 3) is unlikely. ([musiccitymiracles.com](https://www.musiccitymiracles.com/tennessee-titans-coaching-staff/63187/titans-coaching-search-matt-nagy-viewed-internally-as-serious-candidate)) There is active media chatter that Matt Nagy is a serious candidate and books/odds have moved, so incremental rumors or endorsements could move the market modestly, but a >20 percentage‑point swing without an actual hire or a decisive leak is unlikely — overall ~15% chance of such market‑moving news in the next 7 days. ([profootballrumors.com](https://www.profootballrumors.com/2025/12/matt-nagy-considered-a-serious-candidate-for-titans-hc-job?utm_source=openai))",yes
KXNEXTCOACHOUTNFL-26-2-MIA,KXNEXTCOACHOUTNFL-26-2,expand,Positive P&L ($0.53) and median fill = quote size (10.0),,0.04,20,20,20,0.53,4,9,False,0,5,"Very low — multiple reputable reports in Dec 2025 say Mike McDaniel will remain head coach through at least the end of the 2025 season and he’s on a multi‑year extension, while owner Stephen Ross has publicly signaled patience; the Dolphins previously fired GM Chris Grier but explicitly kept McDaniel, so an in‑season firing or immediate departure in the next 7 days is unlikely. A sudden resignation, health issue, or explosive new reporting could still move the market, but those are low‑probability in the coming week. ([nbcsports.com](https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/report-mike-mcdaniel-to-remain-dolphins-coach-through-the-end-of-the-season/?utm_source=openai))",yes
